municipio,ano,vinculos,nome
3151800,2011,47698,Poços de Caldas
3151800,2014,50432,Poços de Caldas
3151800,2013,49866,Poços de Caldas
3151800,2012,49660,Poços de Caldas
3151800,2010,44371,Poços de Caldas
3151800,2016,49604,Poços de Caldas
3151800,2015,49549,Poços de Caldas
3151800,2020,46779,Poços de Caldas
3151800,2017,49770,Poços de Caldas
3151800,2018,49149,Poços de Caldas
3151800,2019,49164,Poços de Caldas
3118601,2011,199958,Contagem
3118601,2014,209001,Contagem
3118601,2013,212519,Contagem
3118601,2012,203450,Contagem
3118601,2010,191989,Contagem
3118601,2016,184997,Contagem
3118601,2015,199824,Contagem
3118601,2020,193255,Contagem
3118601,2017,185898,Contagem
3118601,2018,187383,Contagem
3118601,2019,190900,Contagem
3110004,2011,5125,Caeté
3110004,2014,5671,Caeté
3110004,2013,5281,Caeté
3110004,2012,4779,Caeté
3110004,2010,4884,Caeté
3110004,2016,5177,Caeté
3110004,2015,5225,Caeté
3110004,2020,5331,Caeté
3110004,2017,5180,Caeté
3110004,2018,5035,Caeté
3110004,2019,5265,Caeté
3111200,2011,10383,Campo Belo
3111200,2014,10808,Campo Belo
3111200,2013,10880,Campo Belo
3111200,2012,10885,Campo Belo
3111200,2010,9889,Campo Belo
3111200,2016,9434,Campo Belo
3111200,2015,10284,Campo Belo
3111200,2020,10509,Campo Belo
3111200,2017,9987,Campo Belo
3111200,2018,10147,Campo Belo
3111200,2019,10354,Campo Belo
3106705,2011,122224,Betim
3106705,2014,121269,Betim
3106705,2013,122688,Betim
3106705,2012,121364,Betim
3106705,2010,114800,Betim
3106705,2016,100771,Betim
3106705,2015,111093,Betim
3106705,2020,106740,Betim
3106705,2017,100863,Betim
3106705,2018,104410,Betim
3106705,2019,107743,Betim
3106200,2011,1370942,Belo Horizonte
3106200,2014,1354683,Belo Horizonte
3106200,2013,1377682,Belo Horizonte
3106200,2012,1411147,Belo Horizonte
3106200,2010,1356769,Belo Horizonte
3106200,2016,1176985,Belo Horizonte
3106200,2015,1216511,Belo Horizonte
3106200,2020,1203945,Belo Horizonte
3106200,2017,1177785,Belo Horizonte
3106200,2018,1179500,Belo Horizonte
3106200,2019,1200871,Belo Horizonte
3103504,2011,20921,Araguari
3103504,2014,22899,Araguari
3103504,2013,22873,Araguari
3103504,2012,21916,Araguari
3103504,2010,20687,Araguari
3103504,2016,22406,Araguari
3103504,2015,22406,Araguari
3103504,2020,24730,Araguari
3103504,2017,22996,Araguari
3103504,2018,23417,Araguari
3103504,2019,24402,Araguari
3154606,2011,26650,Ribeirão das Neves
3154606,2014,27385,Ribeirão das Neves
3154606,2013,26704,Ribeirão das Neves
3154606,2012,23135,Ribeirão das Neves
3154606,2010,27845,Ribeirão das Neves
3154606,2016,27235,Ribeirão das Neves
3154606,2015,28332,Ribeirão das Neves
3154606,2020,27126,Ribeirão das Neves
3154606,2017,27313,Ribeirão das Neves
3154606,2018,25774,Ribeirão das Neves
3154606,2019,27325,Ribeirão das Neves
3105608,2011,26373,Barbacena
3105608,2014,27686,Barbacena
3105608,2013,26628,Barbacena
3105608,2012,26989,Barbacena
3105608,2010,25374,Barbacena
3105608,2016,26646,Barbacena
3105608,2015,27591,Barbacena
3105608,2020,26907,Barbacena
3105608,2017,26549,Barbacena
3105608,2018,27658,Barbacena
3105608,2019,28077,Barbacena
